source_type,name,reason
GBD,Rhode Island,unmatched
GBD,Riau,unmatched
GBD,Riau Islands,unmatched
GBD,Rio Grande do Norte,unmatched
GBD,Rio Grande do Sul,unmatched
GBD,Rio de Janeiro,unmatched
GBD,Rivers,unmatched
GBD,Rizal,unmatched
GBD,Rogaland,unmatched
GBD,Romblon,unmatched
GBD,Rondônia,unmatched
GBD,Roraima,unmatched
GBD,Saga,unmatched
GBD,Sahel Region,unmatched
GBD,Saitama,unmatched
GBD,Samar (Western Samar),unmatched
GBD,Samburu,unmatched
GBD,San Luis Potosí,unmatched
GBD,Santa Catarina,unmatched
GBD,Sarangani,unmatched
GBD,Sardegna,unmatched
GBD,Scotland,unmatched
GBD,Semnan,unmatched
GBD,Sergipe,unmatched
GBD,Shiga,unmatched
GBD,Shimane,unmatched
GBD,Shizuoka,unmatched
GBD,Siaya,unmatched
GBD,Sicilia,unmatched
GBD,Sidama,unmatched
GBD,Sikkim,unmatched
GBD,Sinaloa,unmatched
GBD,Sindh,unmatched
GBD,Siquijor,unmatched
GBD,Sistan and Baluchistan,unmatched
GBD,Sokoto,unmatched
GBD,Somali,unmatched
GBD,Sonora,unmatched
GBD,Sorsogon,unmatched
GBD,South Asia,unmatched
GBD,South Asia - WB,unmatched
GBD,South Carolina,unmatched
GBD,South Cotabato,unmatched
GBD,South Dakota,unmatched
GBD,South East England,unmatched
GBD,South Kalimantan,unmatched
GBD,South Khorasan,unmatched
GBD,South Sulawesi,unmatched
GBD,South Sumatra,unmatched
GBD,South West,unmatched
GBD,South West England,unmatched
GBD,Southeast Asia,unmatched
GBD,"Southeast Asia, East Asia, and Oceania",unmatched
GBD,Southeast Sulawesi,unmatched
GBD,Southern Africa,unmatched
GBD,Southern Latin America,unmatched
GBD,Southern Leyte,unmatched
GBD,"Southern Nations, Nationalities, and Peoples",unmatched
GBD,Southern Sub-Saharan Africa,unmatched
GBD,Sub-Saharan Africa,unmatched
GBD,Sub-Saharan Africa - WB,unmatched
GBD,Sultan Kudarat,unmatched
GBD,Sulu,unmatched
GBD,Surigao Del Norte,unmatched
GBD,Surigao Del Sur,unmatched
GBD,São Paulo,unmatched
GBD,Tabasco,unmatched
GBD,Taita Taveta,unmatched
GBD,Tamaulipas,unmatched
