antecedents,consequents,support,confidence,lift
health_exp_per_capita_usd=low + income_group=LI,suicide=high,0.071,0.52,1.56
addiction_death_rate=high + alcohol_litres_per_capita=high + health_exp_per_capita_usd=high,suicide=high,0.077,0.519,1.556
addiction_death_rate=high + gdp_per_capita_usd=high + health_exp_per_capita_usd=high + income_group=HI,suicide=high,0.077,0.5,1.5
life_expectancy_years=low + urban_population_pct=low,suicide=high,0.104,0.5,1.5
gdp_per_capita_usd=low + health_exp_per_capita_usd=low + income_group=LI,suicide=high,0.06,0.5,1.5
addiction_death_rate=high + health_exp_per_capita_usd=high + income_group=HI,suicide=high,0.077,0.5,1.5
addiction_death_rate=high + gdp_per_capita_usd=high + income_group=HI,suicide=high,0.077,0.5,1.5
addiction_death_rate=high + income_group=HI,suicide=high,0.077,0.5,1.5
addiction_death_rate=high + gdp_per_capita_usd=high + health_exp_per_capita_usd=high,suicide=high,0.077,0.5,1.5
addiction_death_rate=high + gdp_per_capita_usd=high,suicide=high,0.077,0.5,1.5
income_group=LI,suicide=high,0.071,0.5,1.5
gdp_per_capita_usd=low + income_group=LI,suicide=high,0.06,0.5,1.5
